Pattern name,Traditional description,Description updated for p2p,Translation for material distributed production,Examples,Measures to increase dependability of these models
Add-on,"The core ofering is priced competitively, but there are numerous extras that drive the final price up, in the end the customer pays more than what was originaly assumed. ","You offer a base model of a modular and extensible artifact. Benefits from helping others customize, add functionality, and interoperate with other existing offers / artifacts (ecosystem of artifacts).","A core group of hardware developers develop a basic model of a machine (ex. a meet grinder), that could have multiple uses (grind meet, make sousage, make juice). Once they create that, they wait for adopters to ask them to extend the functionality acording to their needs (someone wants to make sousage). They reward the designers for their work on adding on new functionality.  
Operating under this model has consequences on how the core groups of designers conceve the original thing. It must be modular and extensible, to fit new functionality that mey not even be imagined in the beginning of the process. 
The original central piece might be bootstrapped, but the rest of the functionality that will be built around can be rewarded by users. 
The add-ons can also be external modules for adapting the device to local conditions, such as local power grid (power adaptgers). 
They can also be UX / UI features, such as automation and control pannels. 
This model also applies to services. for example, a local makerspace can offer a base fee for accessing the lab, but at the same time offer extra services for accessing specific machines or know-how (consulting, technical support and education).",,
Affiliation,"The focus lies in supporting others to sell products successfuly, thus benefiting from succesful transactions. Affiliates usually have some kind of pay-per-sale or pay-per-order play system. ","Mainly related to distribution or dissemination. Your role is to cordinate the process by utilizing other agents (affiliates) in the ecosystem and rewarding them in proportion to their results / achievements / success, from whih you directly benefit. The focus lies in supporting others to distribute or locally fabricate, thus you can benefit from their successful operations and transactions.",Ex. Your offer is DIY.,,
Aikido,"Aikido is a Japanese martial art in which the strenght of an attacker is used against himself. As a business model, Aikido allows a company to offer something diametrically opposed to the image and mindset of the competition. ",Offer something diametrically opposed to the image and mindset of other actors in the ecosystem. ,"For example, DIY hardware is not distributed as a product and is highly customizable, thus changing the paradigm of market-based product distribution. This model of hardware production is very disruptive. ",,
Auction,It involves selling product or service to the highest bidder. The final price is atteined at a predetermined moment or when no higher bid has been received. This allows the company to see to the highest price and the customert to influence the price of the product.  ,"Offer to the highest bidder, to whom makes you benefits the most (not just money). You can benefit more and the receiver (highest bidder) increases the valuation of your offer.",,,
Barter,Barter is a method of exchanging goods with no transfer of money. In the context of business the customer provides something of value to the sponsoring organization.,"Offer something in exchange of something else, not money.  ",,,
Cash Machine,The customer pays upfront from the products sold before the company has to convert the associated expenses. This results in incrdeased liquidity that can be used to amortize bedt or fund investment in other areas. ,Offer somethign and ask for reciprocation ahead of production and delivery / distribution. ,,,
Cross-selling,"Services or products from an outside business are added to the offerings, thus leveraging existing key skills and resources. In retail especially, companies can easily provide additional products and offerings, by generating new revenue streams with minimum effort. ",Offer other agents' offerings along with yours.,,,
Crowdfunding,"A product, project or entire start-up is financed by a group of investors who wish to support the underlying idea typically via the internet. Is the critical mass is achieved the idea will be realized and investors receive benefits according to the amount of money invested",Source your offering with contributions from the crowd. Contributors (risk takers) will receive benefits. You also assess the real need  (demand) of your offering.,,,
Crowdsourcing,"The solution to a task or problem is adopted by an anonymous crowd, typically via the internet. Contributors receive a small reward or have a chance to win a prize if their solution is chosen for production and sale.","Your offering is designed and built / produced and even distributed by the crowd. In other words, your production and distribution is crowdsourced",,,
Loyalty,"Customers are retained and loyalty assured by providing value over and above the product or the service itself, for example  through incentive-based proagrams","Provide more than what is expected from you, beyound your main offering, use incentive-based programs.",,,
Digitization,"The pattern relies on the ability to turn existing products and services into digital versions themselves, which thus offers advantages over tangible products such as easier and more rapid distribution","Turn existing products and services into digital versions of themselves, gain advantage over tangible products such as easier and more rapid disemination / distribution. Ex. DIY, distribute files and let people produce locally using digital fabrication.",,,
Direct Selling,"Direct selling refers to a scenario whereby a company's products are not sold through an intermediary but are available directly from the manufacturer or service provider. In this way, the company retains a higher margin and cuts the middleman",You don't use intermediaries for your offerings. You are in direct contact with your beneficiaries.,,,
E-commerce,"Traditional products or services are delivered through online channels only, this removing costs associated with running a physical branch infrastructure. Customers benefit from greater availability and convenience.",Use online channels to disseminate your offerings. ,,,
Experience Selling,The value of a product or service is increased by an additional customer experience offered with it. This opens the door to higher customers demand and an increase in the price charged.,Provide an experience with your offering to your beneficiary. Leads to better relations and greater benefits.,,,
